instrument,embedding,train set,cosine similarity
cello,vggish-k,irmas,0.0009320073077650265
cello,vggish-k,openmic,-0.006408207432595679
cello,openl3-k,irmas,-0.0018695064199477744
cello,openl3-k,openmic,-0.006501426760883087
cello,yamnet-k,irmas,0.0005828030083423622
cello,yamnet-k,openmic,-0.0037263124047149784
clarinet,vggish-k,irmas,0.00783882385303765
clarinet,vggish-k,openmic,-0.008605745049833323
clarinet,openl3-k,irmas,-0.0008121424541519592
clarinet,openl3-k,openmic,-0.007383069949544853
clarinet,yamnet-k,irmas,0.001386061379666308
clarinet,yamnet-k,openmic,-0.0028195471705963777
flute,vggish-k,irmas,0.006605183359939966
flute,vggish-k,openmic,0.006749784745226167
flute,openl3-k,irmas,-0.0011907896140880684
flute,openl3-k,openmic,-0.0034288313657384563
flute,yamnet-k,irmas,-0.0005262409394302904
flute,yamnet-k,openmic,-0.004112757778781292
guitar,vggish-k,irmas,-0.007045227169761624
guitar,vggish-k,openmic,-0.0054329149934325815
guitar,openl3-k,irmas,-0.004173066485200213
guitar,openl3-k,openmic,-0.004114975265731869
guitar,yamnet-k,irmas,-0.0014854596369038566
guitar,yamnet-k,openmic,-0.004324628177071554
organ,vggish-k,irmas,-0.0026963836735746233
organ,vggish-k,openmic,-0.009158066020352199
organ,openl3-k,irmas,-0.0031824165606929235
organ,openl3-k,openmic,-0.008089458044802175
organ,yamnet-k,irmas,-0.0016326135562053212
organ,yamnet-k,openmic,-0.006905588635527387
piano,vggish-k,irmas,-0.012663925791924237
piano,vggish-k,openmic,-0.017447564671793023
piano,openl3-k,irmas,-0.0009496403014098431
piano,openl3-k,openmic,-0.0021537167643902112
piano,yamnet-k,irmas,-9.014713785033494e-05
piano,yamnet-k,openmic,0.0002461667640394974
saxophone,vggish-k,irmas,-0.006089522248467975
saxophone,vggish-k,openmic,0.03747608431482814
saxophone,openl3-k,irmas,-0.005883064700172315
saxophone,openl3-k,openmic,-0.003390260726711388
saxophone,yamnet-k,irmas,-0.0011883348084236506
saxophone,yamnet-k,openmic,-0.00244427447033408
trumpet,vggish-k,irmas,0.0016953926281361754
trumpet,vggish-k,openmic,-0.007443835740662572
trumpet,openl3-k,irmas,-0.006279842234083044
trumpet,openl3-k,openmic,-0.007558159239295148
trumpet,yamnet-k,irmas,0.00014105572133358418
trumpet,yamnet-k,openmic,-0.0024018270659722863
violin,vggish-k,irmas,0.0010845990019342933
violin,vggish-k,openmic,9.024858646349693e-05
violin,openl3-k,irmas,-0.0012681645193391993
violin,openl3-k,openmic,-0.0014996942680240502
violin,yamnet-k,irmas,0.0007543976624632123
violin,yamnet-k,openmic,-0.002871357787646918
voice,vggish-k,irmas,0.004803398128640143
voice,vggish-k,openmic,0.00011916649725894797
voice,openl3-k,irmas,-0.002852084978403437
voice,openl3-k,openmic,-0.004013321970346602
voice,yamnet-k,irmas,-0.0017596343891871577
voice,yamnet-k,openmic,-0.001540421541713962
